id,batteryHealth,binId,binStatus,currentFillLevel,latLong,timesTamp
20660,95,CleanFLEX-FB2000002005AB68,Low,29,"-33.919477, 151.257681","2021-10-24 11:00:03"
20661,10,CleanFLEX-FB2000002008AC12,Low,3,"-33.919727, 151.257213","2021-10-24 11:00:03"
20662,10,CleanFLEX-FB2000002008AC17,Low,15,"-33.91947, 151.257542","2021-10-24 11:00:03"
20663,95,CleanCUBE-A1905081905AA07,"Half Full",55,NULL,"2021-10-24 11:00:03"
20664,95,CleanCUBE-A1905081905AA02,Low,0,NULL,"2021-10-24 11:00:03"
20665,95,CleanCUBE-A1807111808AA01,"Half Full",41,NULL,"2021-10-24 11:00:03"
20666,100,CleanFLEX-FB2000001911AA90,Full,100,NULL,"2021-10-24 11:00:03"
20667,95,CleanCUBE-A1905081905AA26,Low,5,NULL,"2021-10-24 11:00:03"
20668,10,CleanFLEX-FB2000002008AC07,"Half Full",33,"-33.919555, 151.258164","2021-10-24 11:00:03"
20669,95,CleanFLEX-FB2000002008AC08,"Half Full",42,"-33.919477, 151.257681","2021-10-24 11:00:03"
20670,10,CleanFLEX-FB2000002008AC14,"Half Full",46,"-33.920358, 151.257167","2021-10-24 11:00:03"
20671,10,CleanFLEX-FB2000002008AC15,Low,27,"-33.920358, 151.257167","2021-10-24 11:00:03"
20672,10,CleanFLEX-FB2000002008AC18,Low,7,"-33.919555, 151.258164","2021-10-24 11:00:03"
20673,10,CleanFLEX-FB2000002008AC16,Low,10,"-33.919477, 151.257681","2021-10-24 11:00:03"
20674,95,CleanFLEX-FB2000002005AB70,Full,72,"-33.919555, 151.258164","2021-10-24 11:00:03"
20675,95,CleanFLEX-FB2000002005AB71,Low,23,"-33.922367, 151.256956","2021-10-24 11:00:03"
20676,95,CleanFLEX-FB2000002005AB65,"Half Full",63,"-33.920944, 151.257001","2021-10-24 11:00:03"
20677,95,CleanFLEX-FB2000002005AB69,"Half Full",54,"-33.920227, 151.257692","2021-10-24 11:00:03"
20678,95,CleanFLEX-FB2000002005AB62,Low,21,"-33.91947, 151.257542","2021-10-24 11:00:03"
20679,95,CleanCUBE-A1808201809AA03,"Half Full",40,NULL,"2021-10-24 11:00:03"
20680,100,CleanCUBE-A1905081905AA00,Low,16,NULL,"2021-10-24 11:00:03"
20681,100,CleanFLEX-FB2000001911AA87,Full,100,NULL,"2021-10-24 11:00:03"
20682,100,CleanFLEX-FB2000001911AA88,Full,100,NULL,"2021-10-24 11:00:03"
20683,100,CleanFLEX-FB2000001911AA91,Full,100,NULL,"2021-10-24 11:00:03"
20684,100,CleanCUBE-A1905081905AA06,Low,13,NULL,"2021-10-24 11:00:03"
20685,100,CleanCUBE-A1905081905AA09,Low,14,NULL,"2021-10-24 11:00:03"
20686,95,CleanCUBE-A1905081905AA13,Low,17,NULL,"2021-10-24 11:00:03"
20687,100,CleanCUBE-A1907221908AA73,Low,0,NULL,"2021-10-24 11:00:03"
20688,10,CleanFLEX-FB2000002008AC19,Low,18,"-33.920289, 151.257056","2021-10-24 11:00:03"
20689,10,CleanFLEX-FB2000002008AC10,"Half Full",36,"-33.920227, 151.257692","2021-10-24 11:00:03"
20690,10,CleanFLEX-FB2000002008AC13,"Half Full",52,"-33.920034, 151.257165","2021-10-24 11:00:03"
20691,10,CleanFLEX-FB2000002008AC00,Full,89,"-33.918951, 151.25847","2021-10-24 11:00:03"
20692,10,CleanFLEX-FB2000002008AC04,Full,74,"-33.919505, 151.257857","2021-10-24 11:00:03"
20693,10,CleanFLEX-FB2000002008AC06,Full,88,"-33.91947, 151.257542","2021-10-24 11:00:03"
20694,10,CleanFLEX-FB2000002008AC09,Low,10,"-33.919135, 151.258104","2021-10-24 11:00:03"
20695,100,CleanCUBE-A1905081905AA19,Low,10,NULL,"2021-10-24 11:00:03"
20696,95,CleanFLEX-FB2000002005AB66,"Half Full",34,"-33.920944, 151.257001","2021-10-24 11:00:03"
20697,95,CleanFLEX-FB2000002005AB64,Full,77,"-33.920816, 151.257022","2021-10-24 11:00:03"
20698,10,CleanFLEX-FB2000002008AC20,Low,17,"-33.920372, 151.257036","2021-10-24 11:00:03"
20699,95,CleanCUBE-A1811211812AA04,Low,0,NULL,"2021-01-23 04:00:03"
20700,100,CleanCUBE-D1905281906AA03,"Half Full",42,NULL,"2021-01-23 04:00:03"
20701,95,CleanCUBE-A1905081905AA07,"Half Full",55,NULL,"2021-10-24 12:00:04"
20702,100,CleanFLEX-FB2000001911AA89,Full,92,NULL,"2021-10-24 12:00:04"
20703,10,CleanFLEX-FB1000001906AA19,Full,100,NULL,"2021-10-24 12:00:04"
20704,10,CleanFLEX-FB1000001906AA18,Low,14,NULL,"2021-10-24 12:00:04"
20705,95,CleanCUBE-A1905081905AA02,Low,0,NULL,"2021-10-24 12:00:04"
20706,10,CleanFLEX-FB2000002008AC05,"Half Full",40,"-33.919505, 151.257857","2021-10-24 12:00:04"
20707,10,CleanFLEX-FB2000002008AC01,"Half Full",42,"-33.919135, 151.258104","2021-10-24 12:00:04"
20708,10,CleanFLEX-FB2000002008AC02,Full,100,"-33.920227, 151.257692","2021-10-24 12:00:04"
20709,95,CleanFLEX-FB2000002005AB63,Low,22,"-33.919505, 151.257857","2021-10-24 12:00:04"
20710,10,CleanFLEX-FB2000002008AC03,Low,11,"-33.918951, 151.25847","2021-10-24 12:00:04"
