id,batteryHealth,binId,binStatus,currentFillLevel,latLong,timesTamp
5180,100,CleanCUBE-A1907221908AA73,"Half Full",60,NULL,"2021-10-11 10:00:04"
5181,10,CleanFLEX-FB2000002008AC00,Full,89,"-33.918951, 151.25847","2021-10-11 10:00:04"
5182,95,CleanCUBE-A1905081905AA13,Low,14,NULL,"2021-10-11 10:00:04"
5183,100,CleanCUBE-A1905081905AA19,Low,3,NULL,"2021-10-11 10:00:04"
5184,100,CleanFLEX-FB2000001911AA87,Full,100,NULL,"2021-10-11 10:00:04"
5185,100,CleanFLEX-FB2000001911AA88,Full,100,NULL,"2021-10-11 10:00:04"
5186,100,CleanFLEX-FB2000001911AA91,Full,100,NULL,"2021-10-11 10:00:04"
5187,95,CleanCUBE-A1808201809AA03,Low,24,NULL,"2021-10-11 10:00:04"
5188,100,CleanCUBE-A1905081905AA06,Low,13,NULL,"2021-10-11 10:00:04"
5189,100,CleanCUBE-A1905081905AA09,Low,9,NULL,"2021-10-11 10:00:04"
5190,10,CleanFLEX-FB2000002008AC10,"Half Full",36,"-33.920227, 151.257692","2021-10-11 10:00:04"
5191,10,CleanFLEX-FB2000002008AC13,"Half Full",41,"-33.920034, 151.257165","2021-10-11 10:00:04"
5192,10,CleanFLEX-FB2000002008AC04,Full,74,"-33.919505, 151.257857","2021-10-11 10:00:04"
5193,100,CleanFLEX-FB2000002008AC06,Full,88,"-33.91947, 151.257542","2021-10-11 10:00:04"
5194,10,CleanFLEX-FB2000002008AC19,Low,18,"-33.920289, 151.257056","2021-10-11 10:00:04"
5195,10,CleanFLEX-FB2000002008AC09,Low,10,"-33.919135, 151.258104","2021-10-11 10:00:04"
5196,95,CleanFLEX-FB2000002005AB64,"Half Full",61,"-33.920816, 151.257022","2021-10-11 10:00:04"
5197,10,CleanFLEX-FB2000002008AC20,Low,17,"-33.920372, 151.257036","2021-10-11 10:00:04"
5198,95,CleanFLEX-FB2000002005AB66,Low,14,"-33.920944, 151.257001","2021-10-11 10:00:04"
5199,95,CleanCUBE-A1811211812AA04,Low,0,NULL,"2021-01-23 04:00:03"
5200,100,CleanCUBE-D1905281906AA03,"Half Full",42,NULL,"2021-01-23 04:00:03"
5201,95,CleanCUBE-A1905081905AA02,Low,0,NULL,"2021-10-11 11:00:04"
